NO,Boiling Point,Molecule Weight,Melting Point,Flash Point,Vapor pressure,Water solubility,Log Kow,Log Kaw,Half-life from model River,Carbon chain length,Exposure type,Exposure duration,Media type,Chemical concentration ,Environmental temperature,Compartment classs,Modeled logD,Measured logBCF
94,342.7,292,122.32,160.3,8.63E-05,5.81E-02,6.29,-1.853,0.292,12,Flow-through,5,Fresh water,0.0016,11,2.953,5.94,4
95,416.2,354.5,123.21,203.9,7.47E-06,7.31E-03,6.91,-3.468,5.601,14,Static,2,Fresh water,0.002,26.67,2.953,6.22,2.48
96,416.2,354.5,123.21,203.9,7.47E-06,7.31E-03,6.91,-3.468,5.601,14,Static,1,Fresh water,0.002,26.67,2.953,6.22,2.48
97,416.2,354.5,123.21,203.9,7.47E-06,7.31E-03,6.91,-3.468,5.601,14,Static,3,Fresh water,0.002,26.67,2.953,6.22,2.54
98,288,290.8,112.5,157.5,3.52E-05,4.04E+00,4.14,-4.756,8.166,6,Static,3,Fresh water,0.0014,26.67,2.953,3.82,2.22
99,288,290.8,112.5,157.5,3.52E-05,4.04E+00,4.14,-4.756,8.166,6,Static,2,Fresh water,0.0014,26.67,2.953,3.82,2.25
100,288,290.8,112.5,157.5,3.52E-05,4.04E+00,4.14,-4.756,8.166,6,Static,1,Fresh water,0.0014,26.67,2.953,3.82,2.37
101,288,290.8,112.5,157.5,3.52E-05,4.04E+00,4.14,-4.756,8.166,6,Static,33,Fresh water,0.00167,26.7,2.953,3.82,2.75
102,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Static,2,Fresh water,0.0009,26.67,2.953,6.46,2.03
103,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Static,1,Fresh water,0.0009,26.67,2.953,6.46,2.05
104,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Static,3,Fresh water,0.0009,26.67,2.953,6.46,2.34
105,416.2,354.5,123.21,203.9,7.47E-06,7.31E-03,6.91,-3.468,5.601,14,Renewal,15,Fresh water,0.00022,22,2.953,6.22,4.24
106,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Renewal,15,Fresh water,0.00394,22,2.953,6.46,2.95
107,344.9,292,122.32,161.9,8.45E-06,8.61E-02,6.09,-2.087,0.281,12,Renewal,15,Fresh water,0.004535,22,2.953,5.94,2.66
108,317.6,257.5,100.85,216.1,4.00E-05,3.91E-01,5.55,-1.991,0.225,12,Renewal,15,Fresh water,0.003275,22,2.953,5.5,1.73
109,371,326.4,134.6,177.8,2.52E-05,1.34E-02,6.8,-2.434,0.567,12,Renewal,15,Fresh water,0.00354,22,2.953,6.21,3.18
110,392.2,326.4,134.6,193.6,6.53E-06,1.36E-02,6.79,-1.472,0.233,12,Food,240,Fresh water,290.2,27,2.953,6.39,0.47
111,495,252.3,133.41,228.6,2.44E-06,1.74E-01,5.99,-1.833,0.175,20,Static,0.5,Fresh water,7.51,4,2.953,6.32,0.91
112,495,252.3,133.41,228.6,2.44E-06,1.74E-01,5.99,-1.833,0.175,20,Static,3,Fresh water,6.96,4,2.953,6.32,1.39
113,495,252.3,133.41,228.6,2.44E-06,1.74E-01,5.99,-1.833,0.175,20,Static,7,Fresh water,6.7,4,2.953,6.32,1.85
114,221.5,128.17,5.01,78.9,4.04E-02,1.42E+02,3.3,-1.745,0.111,10,Static,0.5,Fresh water,10.2,4,2.953,3.37,1.27
115,221.5,128.17,5.01,78.9,4.04E-02,1.42E+02,3.3,-1.745,0.111,10,Static,3,Fresh water,9.29,4,2.953,3.37,1.48
116,221.5,128.17,5.01,78.9,4.04E-02,1.42E+02,3.3,-1.745,0.111,10,Static,0.5,Fresh water,0.192,4,2.953,3.37,1.49
117,221.5,128.17,5.01,78.9,4.04E-02,1.42E+02,3.3,-1.745,0.111,10,Static,7,Fresh water,8.91,4,2.953,3.37,1.64
118,221.5,128.17,5.01,78.9,4.04E-02,1.42E+02,3.3,-1.745,0.111,10,Static,3,Fresh water,0.141,4,2.953,3.37,1.71
119,221.5,128.17,5.01,78.9,4.04E-02,1.42E+02,3.3,-1.745,0.111,10,Static,7,Fresh water,0.128,4,2.953,3.37,1.92
120,221.5,128.17,5.01,78.9,4.04E-02,1.42E+02,3.3,-1.745,0.111,10,Static,27,Fresh water,0.005,12,2.953,3.37,2.48
121,221.5,128.17,5.01,78.9,4.04E-02,1.42E+02,3.3,-1.745,0.111,10,Static,27,Fresh water,0.023,12,2.953,3.37,2.56
122,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,33,Salt water,0.0014,30,2.953,5.57,3.84
123,416.2,354.5,123.21,203.9,7.47E-06,7.31E-03,6.91,-3.468,5.601,14,Flow-through,120,Fresh water,0.0000075,10,2.953,6.22,4.65
124,416.2,354.5,123.21,203.9,7.47E-06,7.31E-03,6.91,-3.468,5.601,14,Flow-through,152,Fresh water,0.0000075,10,2.953,6.22,4.66
125,416.2,354.5,123.21,203.9,7.47E-06,7.31E-03,6.91,-3.468,5.601,14,Flow-through,90,Fresh water,0.0000075,10,2.953,6.22,4.72
126,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,33,Salt water,0.0002,30,2.953,5.57,3.4
127,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,33,Salt water,0.0055,30,2.953,5.57,3.58
128,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,28,Salt water,0.0002,30,2.953,5.57,3.67
129,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,33,Salt water,0.00046,30,2.953,5.57,3.69
130,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,28,Salt water,0.00029,30,2.953,5.57,3.73
131,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,33,Salt water,0.0034,30,2.953,5.57,3.76
132,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,33,Salt water,0.00029,30,2.953,5.57,3.77
133,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,33,Salt water,0.015,30,2.953,5.57,3.79
134,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,28,Salt water,0.001,30,2.953,5.57,3.84
135,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,33,Salt water,0.001,30,2.953,5.57,3.91
136,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,28,Salt water,0.0002,30,2.953,5.57,3.92
137,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,28,Salt water,0.00029,30,2.953,5.57,4
138,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,28,Salt water,0.0055,30,2.953,5.57,4
139,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,28,Salt water,0.0034,30,2.953,5.57,4.04
140,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,28,Salt water,0.00046,30,2.953,5.57,4.04
141,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,28,Salt water,0.00046,30,2.953,5.57,4.08
142,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,28,Salt water,0.0014,30,2.953,5.57,4.15
143,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,28,Salt water,0.001,30,2.953,5.57,4.23
144,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,28,Salt water,0.0034,30,2.953,5.57,4.34
145,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,28,Salt water,0.0055,30,2.953,5.57,4.36
146,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,28,Salt water,0.0002,30,2.953,5.57,4.36
147,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,28,Salt water,0.0014,30,2.953,5.57,4.4
148,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,28,Salt water,0.0002,30,2.953,5.57,4.45
149,354.5,257.5,100.85,245.7,4.00E-05,2.35E-01,5.81,-2.158,0.299,12,Flow-through,28,Salt water,0.015,30,2.953,5.57,4.53
150,416.4,390.6,90.23,222.3,1.45E-06,4.24E-04,8.1,-3.979,18.84,24,Static,3,Fresh water,0.000063,25,2.953,8.53,3.97
151,344.9,292,122.32,161.9,8.45E-06,8.61E-02,6.09,-2.087,0.281,12,Static,3,Fresh water,0.02065,25,2.953,5.94,4.07
152,317.6,257.5,100.85,216.1,4.00E-05,3.91E-01,5.55,-1.991,0.225,12,Static,3,Fresh water,0.03845,25,2.953,5.5,3.81
153,371,326.4,134.6,177.8,2.52E-05,1.34E-02,6.8,-2.434,0.567,12,Static,3,Fresh water,0.0434,25,2.953,6.21,4.08
154,421.2,306,136.44,208.6,2.21E-06,1.93E-03,6.63,-3.295,0.872,12,Flow-through,14,Fresh water,0.00000393,12,2.953,6.21,3.37
155,421.2,306,136.44,208.6,2.21E-06,1.93E-03,6.63,-3.295,0.872,12,Flow-through,28,Fresh water,0.00000393,12,2.953,6.21,3.39
156,421.2,306,136.44,208.6,2.21E-06,1.93E-03,6.63,-3.295,0.872,12,Flow-through,21,Fresh water,0.00000041,12,2.953,6.21,3.41
157,421.2,306,136.44,208.6,2.21E-06,1.93E-03,6.63,-3.295,0.872,12,Flow-through,28,Fresh water,0.00000393,12,2.953,6.21,3.42
158,421.2,306,136.44,208.6,2.21E-06,1.93E-03,6.63,-3.295,0.872,12,Flow-through,21,Fresh water,0.00000393,12,2.953,6.21,3.44
159,421.2,306,136.44,208.6,2.21E-06,1.93E-03,6.63,-3.295,0.872,12,Flow-through,7,Fresh water,0.00000393,12,2.953,6.21,3.48
160,421.2,306,136.44,208.6,2.21E-06,1.93E-03,6.63,-3.295,0.872,12,Flow-through,7,Fresh water,0.00000041,12,2.953,6.21,3.6
161,421.2,306,136.44,208.6,2.21E-06,1.93E-03,6.63,-3.295,0.872,12,Flow-through,14,Fresh water,0.00000041,12,2.953,6.21,3.64
162,421.2,306,136.44,208.6,2.21E-06,1.93E-03,6.63,-3.295,0.872,12,Flow-through,28,Fresh water,0.00000041,12,2.953,6.21,3.65
163,421.2,306,136.44,208.6,2.21E-06,1.93E-03,6.63,-3.295,0.872,12,Flow-through,28,Fresh water,0.00000041,12,2.953,6.21,3.78
164,416.2,354.5,123.21,203.9,7.47E-06,7.31E-03,6.91,-3.468,5.601,14,Food,30,Fresh water,0.1288,25,2.953,6.22,0.15
165,416.2,354.5,123.21,203.9,7.47E-06,7.31E-03,6.91,-3.468,5.601,14,Gavage,3,Fresh water,0.00022,26,2.953,6.22,4.95
166,25.9,133.9,320,-32.5,2.63E-05,1.19E+01,-0.979,-1.419,0.17,1,Renewal,1,Fresh water,0.000870258,12,2.953,-2.67,-1
167,25.9,133.9,320,-32.5,2.63E-05,1.19E+01,-0.979,-1.419,0.17,1,Renewal,11,Fresh water,0.000870258,12,2.953,-2.67,-1
168,25.9,133.9,320,-32.5,2.63E-05,1.19E+01,-0.979,-1.419,0.17,1,Renewal,4,Fresh water,0.000870258,12,2.953,-2.67,-0.3
169,25.9,133.9,320,-32.5,2.63E-05,1.19E+01,-0.979,-1.419,0.17,1,Renewal,8,Fresh water,0.000870258,12,2.953,-2.67,-0.16
170,25.9,133.9,320,-32.5,2.63E-05,1.19E+01,-0.979,-1.419,0.17,1,Renewal,57,Fresh water,13.2,12,4.333,-2.67,-0.1
171,25.9,133.9,320,-32.5,2.63E-05,1.19E+01,-0.979,-1.419,0.17,1,Renewal,57,Fresh water,13.2,12,3.6,-2.67,0.04
172,25.9,133.9,320,-32.5,2.63E-05,1.19E+01,-0.979,-1.419,0.17,1,Renewal,15,Fresh water,0.000870258,12,2.953,-2.67,0.08
173,25.9,133.9,320,-32.5,2.63E-05,1.19E+01,-0.979,-1.419,0.17,1,Renewal,22,Fresh water,0.000870258,12,2.953,-2.67,0.15
174,25.9,133.9,320,-32.5,2.63E-05,1.19E+01,-0.979,-1.419,0.17,1,Renewal,29,Fresh water,0.000870258,12,2.953,-2.67,0.26
175,25.9,133.9,320,-32.5,2.63E-05,1.19E+01,-0.979,-1.419,0.17,1,Renewal,36,Fresh water,0.000870258,12,2.953,-2.67,0.3
176,25.9,133.9,320,-32.5,2.63E-05,1.19E+01,-0.979,-1.419,0.17,1,Renewal,43,Fresh water,0.000870258,12,2.953,-2.67,0.36
177,25.9,133.9,320,-32.5,2.63E-05,1.19E+01,-0.979,-1.419,0.17,1,Renewal,57,Fresh water,13.2,12,0.57,-2.67,0.38
